model,phase,term,estimate,standardError,zValue,pValue,lowerCI95,upperCI95,referenceWorkflow,referenceRound,outcome,observations,participants
practice_round_workflow,practice,Intercept,2.8643681534670455,0.17701618648554276,16.181391150356657,6.823510655788908e-59,2.5174164279553817,3.2113198789787094,human,1,meanOverallQuality,94,24
practice_round_workflow,practice,"C(roundIndex, Treatment(reference=1))[T.2]",0.36699483583004056,0.17703187572758022,2.073043819491461,0.038168201684772064,0.020012359403983326,0.7139773122560977,human,1,meanOverallQuality,94,24
practice_round_workflow,practice,"C(roundIndex, Treatment(reference=1))[T.3]",0.1638083790116973,0.17718785720556898,0.9244898696508919,0.355231323425669,-0.1834798211112179,0.5110965791346125,human,1,meanOverallQuality,94,24
practice_round_workflow,practice,"C(roundIndex, Treatment(reference=1))[T.4]",0.4561686157345295,0.1753142907989691,2.602004740489826,0.009268057114033938,0.11255260576855008,0.7997846257005089,human,1,meanOverallQuality,94,24
practice_round_workflow,practice,"C(workflow, Treatment(reference='human'))[T.ai]",0.5372103622942681,0.17371263766073988,3.0925232011239037,0.0019846271934311718,0.19673359247921796,0.8776871321093183,human,1,meanOverallQuality,94,24
practice_round_workflow,practice,"C(workflow, Treatment(reference='human'))[T.human_ai]",0.151007606611774,0.17099180035357187,0.8831277657731241,0.37716724391152834,-0.18413632208122685,0.48615153530477484,human,1,meanOverallQuality,94,24
practice_round_workflow,practice,"C(workflow, Treatment(reference='human'))[T.ai_human]",0.6159343082926654,0.17385418730481877,3.5428212448673837,0.00039587093994142156,0.27518010117522057,0.9566885154101101,human,1,meanOverallQuality,94,24
main_round_workflow,main,Intercept,2.924451432325069,0.17092246244996892,17.10981336453125,1.254006449374757e-65,2.58944340592313,3.259459458727008,human,5,meanOverallQuality,72,24
main_round_workflow,main,"C(roundIndex, Treatment(reference=5))[T.6]",-0.16875941538811395,0.16701116851406764,-1.0104678440945047,0.3122711978663478,-0.4961013056756865,0.1585824748994586,human,5,meanOverallQuality,72,24
main_round_workflow,main,"C(roundIndex, Treatment(reference=5))[T.7]",-0.06914341904214741,0.1612716862457767,-0.42873873679706814,0.668113366947402,-0.38523592408386975,0.2469490859995749,human,5,meanOverallQuality,72,24
main_round_workflow,main,"C(workflow, Treatment(reference='human'))[T.ai]",0.7532088547314664,0.19194367498699944,3.924113960944439,8.704952385209839e-05,0.3769992517569475,1.1294184577059854,human,5,meanOverallQuality,72,24
main_round_workflow,main,"C(workflow, Treatment(reference='human'))[T.human_ai]",0.42072653676117444,0.19831224107028275,2.121535889517113,0.03387673102625416,0.03203454426342023,0.8094185292589287,human,5,meanOverallQuality,72,24
main_round_workflow,main,"C(workflow, Treatment(reference='human'))[T.ai_human]",0.9936264057080035,0.18967194712212584,5.238657697061696,1.6174872950684842e-07,0.6218693893486369,1.3653834220673702,human,5,meanOverallQuality,72,24
